episode,steps,reward,avg_reward_100,success_rate_100,epsilon,avg_loss,aligned
337,800,-800455.0000,-120885.1321,0.1100,0.4922,230.149360,0
338,800,24901.9744,-119374.3450,0.1100,0.4907,213.321551,0
339,800,-271440.1167,-122028.7308,0.1100,0.4892,216.188062,0
340,503,-68114.5763,-122181.1054,0.1200,0.4882,213.235674,1
341,800,20379.2043,-122166.1955,0.1200,0.4867,212.609613,0
342,800,-44548.1209,-122830.6893,0.1200,0.4852,201.576010,0
343,800,-26506.3414,-122672.5240,0.1200,0.4837,206.313708,0
344,800,13332.6735,-114534.2472,0.1200,0.4822,200.252322,0
345,800,29976.9859,-114316.7549,0.1200,0.4806,207.962610,0
346,800,-9508.4358,-114545.9900,0.1200,0.4791,201.544729,0
347,800,-400269.3168,-118560.6007,0.1200,0.4776,208.196948,0
348,800,28396.5118,-110272.6355,0.1200,0.4761,202.026563,0
349,800,15230.4091,-106922.2824,0.1200,0.4746,201.239482,0
350,800,-230039.2872,-109499.2946,0.1200,0.4730,203.842714,0
351,800,5465.2101,-109680.7978,0.1200,0.4715,215.335641,0
352,800,-64749.7222,-110503.0062,0.1200,0.4700,188.692189,0
353,800,30828.6794,-109787.2908,0.1200,0.4685,207.201908,0
354,800,16584.2894,-109047.5943,0.1200,0.4670,194.017208,0
355,800,19522.9161,-108923.0863,0.1200,0.4654,191.746791,0
356,800,-68298.6809,-109126.2275,0.1200,0.4639,212.353585,0
357,607,-12201.2594,-109036.5586,0.1200,0.4628,189.827558,1
358,800,-52069.4036,-109761.1366,0.1200,0.4612,195.490764,0
359,800,-33108.5048,-109046.5998,0.1200,0.4597,198.152647,0
360,616,5177.0417,-108908.3464,0.1300,0.4585,188.986182,1
361,800,-30728.4930,-109490.9232,0.1300,0.4570,203.656784,0
362,800,4487.8019,-109547.2990,0.1300,0.4555,217.088614,0
363,800,-774013.9858,-114102.7546,0.1300,0.4540,204.882543,0
364,800,2866.4173,-114121.1542,0.1300,0.4525,190.329473,0
365,800,27735.7707,-113949.7416,0.1300,0.4509,207.440663,0
366,524,-94599.8368,-106892.4900,0.1400,0.4500,216.764769,1
367,522,-63824.0285,-106268.5239,0.1500,0.4490,201.801133,1
368,800,-186698.8947,-108255.9584,0.1500,0.4474,188.257253,0
369,800,4902.3437,-100202.4849,0.1500,0.4459,194.065145,0
370,800,4074.9897,-100143.6652,0.1500,0.4444,184.902377,0
371,464,-52781.9439,-100716.0493,0.1600,0.4435,212.612445,1
372,258,10741.8853,-99094.8910,0.1700,0.4430,190.441688,1
373,800,-286790.3053,-102000.1348,0.1700,0.4415,202.992312,0
374,800,2046.4141,-102295.0977,0.1700,0.4400,196.539382,0
375,800,-52075.1296,-102872.5129,0.1700,0.4385,197.680042,0
376,800,2760.4576,-102059.8277,0.1700,0.4369,199.444727,0
377,614,24381.7921,-101839.7116,0.1700,0.4358,196.757952,1
378,330,14187.4806,-101743.6169,0.1800,0.4352,215.324557,1
379,800,-800425.0000,-101743.1669,0.1800,0.4336,202.787808,0
380,800,-65024.4805,-102446.7336,0.1800,0.4321,199.609443,0
381,800,-28972.0608,-102920.2465,0.1800,0.4306,204.629590,0
382,800,-95484.5731,-103601.9677,0.1800,0.4291,210.338693,0
383,800,6406.5903,-95533.2018,0.1800,0.4276,197.188374,0
384,380,7162.6561,-94093.1348,0.1900,0.4268,199.292982,1
385,800,-97101.8381,-95092.5160,0.1900,0.4253,195.180408,0
386,800,-16768.0207,-95052.1584,0.1900,0.4238,201.044085,0
387,565,29340.9072,-94862.3912,0.1900,0.4227,193.793355,1
388,410,15293.6138,-94367.1336,0.2000,0.4219,202.946459,1
389,800,-22237.4404,-92845.0664,0.2000,0.4204,185.295004,0
390,800,-6160.6977,-91378.1274,0.2000,0.4189,194.172687,0
391,560,-147756.7929,-92969.9437,0.2100,0.4178,201.558196,1
392,800,-83355.7039,-93987.1140,0.2100,0.4163,184.805543,0
393,800,-66336.9840,-93283.1767,0.2000,0.4148,203.743378,0
394,800,46661.0489,-92989.5335,0.2000,0.4133,196.011276,0
395,800,-48500.7642,-93439.3815,0.2000,0.4118,201.568736,0
396,800,6548.7403,-90381.3501,0.2000,0.4102,210.196714,0
397,800,2340.6756,-87675.4799,0.2000,0.4087,190.748746,0
398,800,22769.8167,-87463.6062,0.2000,0.4072,189.859001,0
399,162,5849.9747,-87582.0291,0.2100,0.4069,180.617349,1
